trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
294,False,"{'a': 0.8, 'e': 0.22992548518672384}",20,7,22.03962404265115,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.8, 'e': 0.22877872704522242}",25,0,-131.22677145011596,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
296,False,"{'a': 0.8, 'e': 0.22763768838381274}",25,8,18.522289648129238,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.8, 'e': 0.22650234067646874}",25,14,2.513678917503068,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
298,False,"{'a': 0.8, 'e': 0.22537265553943872}",25,12,-24.330261974954567,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
299,False,"{'a': 0.8, 'e': 0.22424860473053532}",30,20,-21.077379762682067,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.8, 'e': 0.22313016014842982}",20,6,24.700382698188065,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.8, 'e': 0.22201729383194937}",20,16,8.919354520121193,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.8, 'e': 0.2209099779593782}",20,2,4.324086491637907,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
303,False,"{'a': 0.8, 'e': 0.21980818484776168}",35,20,21.123665176175578,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.8, 'e': 0.21871188695221475}",20,6,21.901412944434487,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.8, 'e': 0.21762105686523284}",25,11,0.05465957056302395,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
306,False,"{'a': 0.8, 'e': 0.21653566731600707}",25,1,-53.38858179215677,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
307,False,"{'a': 0.8, 'e': 0.21545569116974203}",20,2,-3.1438380119279232,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
308,False,"{'a': 0.8, 'e': 0.21438110142697794}",20,15,9.223322457316804,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
309,False,"{'a': 0.8, 'e': 0.21331187122291523}",30,12,14.124830258225863,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.8, 'e': 0.21224797382674304}",25,0,41.60272523484881,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
311,False,"{'a': 0.8, 'e': 0.21118938264097117}",35,11,26.26357867544878,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.8, 'e': 0.21013607120076472}",20,0,-11.544116120321576,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
313,False,"{'a': 0.8, 'e': 0.20908801317328293}",25,0,-50.61170921868191,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
314,False,"{'a': 0.8, 'e': 0.20804518235702046}",30,0,31.78083141404544,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
315,False,"{'a': 0.8, 'e': 0.20700755268115265}",20,11,15.233263445148213,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.8, 'e': 0.20597509820488344}",20,0,-2.7866867464721543,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.8, 'e': 0.2049477931167973}",25,8,-2.9489185321778137,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
318,False,"{'a': 0.8, 'e': 0.20392561173421342}",20,0,31.5793920687954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
319,False,"{'a': 0.8, 'e': 0.20290852850254407}",20,0,-20.84366901959784,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
320,False,"{'a': 0.8, 'e': 0.20189651799465538}",20,14,9.190942434874792,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.8, 'e': 0.20088955491023208}",20,10,7.209492745643867,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.8, 'e': 0.1998876140751445}",25,12,21.99890171940578,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.8, 'e': 0.19889067044081962}",25,0,0.6921636684157886,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
324,False,"{'a': 0.8, 'e': 0.19789869908361465}",25,19,9.465850427809507,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.8, 'e': 0.19691167520419406}",25,17,11.717858149478506,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.8, 'e': 0.19592957412690934}",25,3,-60.62877273497322,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
327,False,"{'a': 0.8, 'e': 0.1949523712991825}",25,14,18.89817593435064,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.8, 'e': 0.19398004229089189}",25,20,6.269029751087445,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.8, 'e': 0.19301256279376172}",30,13,33.40061125442338,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.8, 'e': 0.19204990862075408}",20,10,5.836388820583067,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
331,False,"{'a': 0.8, 'e': 0.19109205570546464}",20,13,4.50915779912577,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.8, 'e': 0.1901389801015205}",20,2,30.019370054796,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.8, 'e': 0.18919065798198204}",25,13,22.511585176679343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.8, 'e': 0.1882470656387468}",20,8,12.934440851562364,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.8, 'e': 0.18730817948195702}",25,11,19.577566310344686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.8, 'e': 0.18637397603940997}",20,9,0.3228371546396813,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
337,False,"{'a': 0.8, 'e': 0.18544443195597088}",20,14,-28.62631497309578,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
338,False,"{'a': 0.8, 'e': 0.18451952399298926}",30,18,21.29957681294392,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.8, 'e': 0.18359922902771786}",30,12,-20.4303385971157,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
340,False,"{'a': 0.8, 'e': 0.18268352405273466}",20,11,-11.203051207182876,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
341,False,"{'a': 0.8, 'e': 0.1817723861753675}",25,16,16.865805477669277,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.8, 'e': 0.1808657926171221}",25,13,17.513020562256806,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.8, 'e': 0.17996372071311217}",20,13,13.895034402271001,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.8, 'e': 0.17906614791149322}",30,14,30.02542239205967,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.8, 'e': 0.1781730517728984}",20,0,16.97384352879023,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.8, 'e': 0.17728440996987782}",20,0,6.646111729535765,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
347,False,"{'a': 0.8, 'e': 0.17640020028634}",25,13,-21.284324719704195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
348,False,"{'a': 0.8, 'e': 0.17552040061699686}",20,10,-50.83397213279489,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
349,False,"{'a': 0.8, 'e': 0.17464498896681085}",20,12,-28.26948739068669,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
350,False,"{'a': 0.8, 'e': 0.17377394345044514}",30,6,17.714946104525367,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
351,False,"{'a': 0.8, 'e': 0.17290724229171636}",20,4,-23.08892013711084,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
352,False,"{'a': 0.8, 'e': 0.17204486382305054}",25,20,6.56753016298667,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.8, 'e': 0.1711867864849409}",20,1,31.552613041889806,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.8, 'e': 0.17033298882540943}",25,19,-1.359521419100318,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
355,False,"{'a': 0.8, 'e': 0.16948344949947006}",20,0,-47.58698360503566,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
356,False,"{'a': 0.8, 'e': 0.1686381472685955}",20,9,16.466409852606258,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
